,height_cm,weight_kg,id,path_to_images
12,162.5,57.0,14264,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{576D435D-583D-43E0-93F9-88AC84BF4683}SDs.JPG
13,177.8,91.0,14265,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{BD2B3CB8-DF76-4497-8C1C-366F9F77D6C0}SDs.JPG
14,170.1,78.0,14274,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2885D5B7-BA4C-4D8E-B9F4-6E8CFF0CEC0D}SDs.JPG
15,160.0,63.0,14275,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{EBA39356-1724-4534-84D0-68CD3413B444}SDs.JPG
16,158.7,49.0,14276,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3359016F-4B11-4D9B-8216-38004FAE7BDD}SDs.JPG
17,157.4,88.0,14123,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{92A8A9F0-7739-41EF-BE91-F265D5A11099}SDs.JPG
18,162.5,80.0,14277,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{1D734BEC-A3F9-4E87-AADC-0C0329AEB02E}SDs.JPG
19,157.4,70.0,14278,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{ACBF41F2-F9F0-4555-98F8-7E266AA89D4C}SDs.JPG
20,173.9,68.0,14279,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{9AD82223-9ECF-456D-A25D-7C0872EF79E5}SDs.JPG
21,172.0,73.0,14280,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{92F14235-F8E6-45A6-9B8E-DF9CF21FDA1B}SDs.JPG
22,172.7,61.0,14300,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{AA6E5189-787C-4E15-84D2-DBC1B7261FA7}SDs.JPG
23,172.7,59.0,14306,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3A327C4F-6424-47BB-8135-3BC6FB280B97}SDs.JPG
24,175.2,68.0,14307,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{6CDB5234-C512-490C-844D-D1DC37378C0A}SDs.JPG
25,157.4,52.0,14308,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{7F1E4104-533C-41D2-BCF6-985D46305C07}SDs.JPG
26,151.1,78.0,14309,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{11577B34-0769-4389-B574-441EFA849145}SDs.JPG
27,165.1,64.0,14310,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CAF8E73B-7CB5-444A-A10D-436374428112}SDs.JPG
28,160.0,54.0,14311,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{1DB28A89-DA9C-43E0-A5FD-8885FE778CB0}SDs.JPG
29,161.2,61.0,14312,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{8BEC3962-BCDD-488A-826B-9377348F75E5}SDs.JPG
30,162.5,73.0,14313,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{0BDEB2C2-1924-4FC1-BD61-386DE655C594}SDs.JPG
31,177.8,83.0,14314,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{210B029A-34E2-4B63-AD2A-50D57BB79623}SDs.JPG
32,170.1,71.0,14315,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2C4A66E4-E98E-428A-A4A0-2E12D6AC8A7A}SDs.JPG
33,157.4,52.0,14318,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{D0DCAE18-B3EF-40E7-AC97-B1E347ED448D}SDs.JPG
34,177.8,84.0,14319,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5573AC8F-98C5-4F45-A1C6-6021F4BD7F80}SDs.JPG
35,177.8,69.0,14320,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{4151BDD8-229F-46AE-A601-4E1E8003955A}SDs.JPG
36,185.4,84.0,14321,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CC931575-0E29-4642-BE19-903C97CC516B}SDs.JPG
37,165.1,68.0,14322,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{4C3623DC-B528-40DF-99F5-FB1475DE0FDE}SDs.JPG
38,172.7,73.0,14325,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{ECB6AEDB-4BC3-44AC-B218-418469531738}SDs.JPG
39,152.4,67.0,14326,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5C3895ED-05F5-4569-9A3F-90E6D55D7291}SDs.JPG
40,121.9,32.0,14327,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{1E84F35C-5A11-446C-8F29-BD4FBF1765AA}SDs.JPG
41,172.7,80.0,14332,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{25EDB2C5-2EBA-4C1C-9EC2-B5BDD68DB367}SDs.JPG
42,162.5,60.0,14257,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{546AE0E0-E25B-43D3-B13A-C6DEBEEF587F}SDs.JPG
43,175.2,82.0,14333,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5616691F-CB5B-4D4C-802C-109C8DC6BB3D}SDs.JPG
44,157.4,51.0,14334,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C02A896F-72AE-41B0-985E-E6750ECC10E6}SDs.JPG
45,185.4,98.0,14335,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CAA3EF3A-5828-49AB-9979-3E46FA7B6A3A}SDs.JPG
46,157.4,54.0,14336,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{83A9A975-9DD3-48A0-9B2B-C1A51744C4E7}SDs.JPG
47,172.7,68.0,14337,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{326CBF14-63ED-4BB1-86E6-972AED3AD58A}SDs.JPG
48,185.4,82.0,14338,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C2D6CD24-7762-4AA2-A5F2-02390094B412}SDs.JPG
49,180.3,95.0,14339,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{98760572-3418-4F2B-8C5D-771EAA67229D}SDs.JPG
50,172.7,78.0,14340,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{6E7DE4ED-6CFA-4354-B9D3-A245EB44A7F9}SDs.JPG
51,152.4,66.0,14342,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C62C28CD-F0C2-431C-BD9B-312A5FD430CF}SDs.JPG
52,180.3,81.0,14343,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{DD7A667E-8CF1-4771-B6FE-330C370920AB}SDs.JPG
53,170.1,66.0,14344,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{ED7B8728-86E2-4C18-AB61-7B01CA41DD37}SDs.JPG
54,162.5,54.0,14345,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{551B5461-46EA-48B2-A4BF-FB5BCBFFB8C9}SDs.JPG
55,170.1,77.0,14274,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{D42682E5-2CD3-4F8D-A429-4410E98EE2A4}SDs.JPG
56,163.8,73.0,14346,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{058AC371-256D-4722-ABF4-4B6404C6F1FD}SDs.JPG
57,169.5,61.0,14348,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{B573DFA2-A111-4A1C-A69E-8458FB9F269F}SDs.JPG
58,185.4,98.0,14349,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{A052B4FA-E77A-4F18-A9B2-74351092D7D9}SDs.JPG
59,154.9,52.0,14350,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{92C617D0-54EC-4D81-9D25-7CFE4074B34D}SDs.JPG
60,162.5,68.0,14351,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{03B7AC08-7DA8-407B-826A-FEB747DC55B6}SDs.JPG
61,165.1,48.0,14354,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{6A46E2B1-2919-4801-B206-DFE9E1A66771}SDs.JPG
62,172.7,99.0,14357,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C33B93D8-C8A1-4863-A452-4848DF3C9D7F}SDs.JPG
63,160.0,57.0,14005,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CDC979D8-E0A9-4FBE-8CF1-B4848FF9CD72}SDs.JPG
64,170.1,68.0,14358,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{9B651314-4AF0-428D-A2C0-E75BE3D4C794}SDs.JPG
65,154.9,48.0,14359,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3617B428-7B46-4F6F-8DD6-F8D182CA9FE5}SDs.JPG
66,165.1,64.0,14360,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{7A88967D-69E2-45DA-8D22-2CA852A2F0F4}SDs.JPG
67,177.8,88.0,14314,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3589CC1C-15D3-4FC8-B87E-67569E2A9445}SDs.JPG
68,175.2,73.0,14361,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{EA1B5512-0485-42E5-8778-10C4DC07D48B}SDs.JPG
69,137.1,44.0,14364,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{08C0F344-01C0-4772-8292-03ADF513B527}SDs.JPG
70,165.1,72.0,14365,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{4CBB39CA-F1C7-4082-803D-B9104CEDE4F2}SDs.JPG
71,172.7,61.0,14366,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{28F75445-4C3A-4D74-9A5C-02BA8CCFB1C8}SDs.JPG
72,177.8,70.0,14367,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{9AFA53CE-A359-4CB9-8BFD-3B97ADE4180B}SDs.JPG
73,152.4,73.0,14368,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{73D70891-1C13-4843-9326-A002B2E27563}SDs.JPG
74,187.9,77.0,14369,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{34F6120C-E276-465C-98E1-5E5D4B50AFDB}SDs.JPG
75,172.7,91.0,14372,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{01D1C1B1-E378-48B5-B523-7D9467F3126A}SDs.JPG
76,160.0,73.0,14373,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{75BAAA8E-97E2-4D5B-A795-6D8C90C961CE}SDs.JPG
77,157.4,64.0,14374,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{BE40EEAE-0628-4380-ACBC-A755B0EDB35B}SDs.JPG
78,139.7,33.0,14378,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{8602E4AE-CE17-4E39-9865-4841626EAC22}SDs.JPG
79,160.0,52.0,14379,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3E9C8F6C-EABB-4251-8513-25EAFA6C8016}SDs.JPG
80,121.9,39.0,14380,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{B9477331-E105-4D34-97A6-B8A89EFD933E}SDs.JPG
81,167.6,68.0,14382,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{F036BC68-7EAD-4151-AF32-084C6B92F066}SDs.JPG
82,160.0,66.0,14383,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3C98BADC-F3B9-4876-91AB-9D84049460CC}SDs.JPG
83,165.1,54.0,14099,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{70870D02-8BDB-42CA-A667-C7C308C690D5}SDs.JPG
84,180.0,101.0,14384,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{D51CA823-D254-4B70-B85B-09BC10DCD284}SDs.JPG
85,162.5,59.0,14385,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{E17BD0BD-DD1C-44BB-B5AC-A452ED8DDCB4}SDs.JPG
86,152.4,57.0,14386,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{0A6D99A2-7415-4272-AFD5-12D56AA9610E}SDs.JPG
87,154.9,46.0,14387,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{20279328-FFAB-434D-AAB1-5C070A693179}SDs.JPG
88,177.8,75.0,14394,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2E6C30AB-422E-4674-A78F-FA3C256CB998}SDs.JPG
89,175.2,75.0,14395,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3817F5E2-BBA2-4882-A396-5B8D2DE92B4A}SDs.JPG
90,157.4,64.0,14396,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{61D07239-3D10-47FE-B471-02DC2F7B5B7F}SDs.JPG
91,170.1,50.0,14397,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2D6A4C7A-9C08-4806-AD2A-93FFAF41E90F}SDs.JPG
92,165.1,61.0,14398,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{B382F4DF-B22A-4E4D-AEF1-BC3B8A680929}SDs.JPG
93,558.8,33.0,14399,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{0AE3083F-4C63-4BE9-AD3F-302C2AF4CEB2}SDs.JPG
94,157.4,55.0,14400,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{B01E8D42-C219-4CCE-9095-3E8D9A9ECEA0}SDs.JPG
95,165.1,61.0,14401,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5FB73C3A-A3E0-4B6A-8EFD-14604E43F599}SDs.JPG
96,165.1,66.0,14322,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{1630B3BD-96E4-4106-9D7F-85ABFF879BB0}SDs.JPG
97,167.6,77.0,14403,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{8EA9F10D-C082-42B9-B51E-1EDEA930D476}SDs.JPG
98,165.1,64.0,14404,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{55E86FC7-D204-4866-8166-C39A6706C0D8}SDs.JPG
99,165.1,54.0,14405,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C269FFEE-3D04-4781-B99F-10E392B31A0B}SDs.JPG
100,167.6,84.0,14406,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{AC9051F2-FFF5-4F84-99E6-A6135C5085F8}SDs.JPG
101,165.1,77.0,14407,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{9D758554-3072-42DF-95BA-603F3F3E4EC4}SDs.JPG
102,167.6,67.0,14408,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{8E18EC83-7FD0-4425-935F-54D1EDBA65B3}SDs.JPG
103,172.7,74.0,14409,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{DC7A3563-139D-4210-B1BA-706B169BED47}SDs.JPG
104,170.1,60.0,14410,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{38D4F4DA-CEDE-4997-8248-FF3617EA3217}SDs.JPG
105,172.7,68.0,14414,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CA5FE7E0-6278-4F24-A9B7-246920AB979A}SDs.JPG
106,172.7,87.0,14415,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{BACCBF7E-DC8B-4115-A27C-E5EE781A7A89}SDs.JPG
107,167.6,73.0,14416,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{85B4C357-8551-4152-916F-E0B095E81C94}SDs.JPG
108,162.5,54.0,14417,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{BA3441F4-AFF9-4E02-A419-D8713E5FCBB5}SDs.JPG
109,162.5,66.0,14418,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2DF5EB57-1CC5-40E5-95C1-D316FC0FBA78}SDs.JPG
110,172.7,88.0,14419,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{F916B53F-6FA9-42BB-9150-812DA69B2926}SDs.JPG
111,170.1,60.0,14420,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{3D7CC8C0-35AA-4CDB-96CA-4939B546314E}SDs.JPG
112,160.0,50.0,14425,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{E6CEE0B3-B765-449E-9A5D-64A284E1B2E7}SDs.JPG
113,157.4,68.0,14426,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{9B3B66F8-E77C-43AB-97E5-0E445ED749F8}SDs.JPG
114,180.0,102.0,14427,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5E167386-598D-4DF8-9130-92E60295B14F}SDs.JPG
115,154.9,52.0,14350,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5E099CCF-0101-4322-9284-80ADFE64536E}SDs.JPG
116,170.1,102.0,14429,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{6C6410A5-C3C7-4D63-9EE9-CF087EF89ABE}SDs.JPG
117,187.9,104.0,14431,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{658EFB67-461F-4508-A76F-36DDBB334531}SDs.JPG
118,170.1,61.0,14432,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{9AECC2D2-3BA4-4A76-806D-54B82A146D35}SDs.JPG
119,185.4,102.0,14433,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{72B3DEC1-BC23-4FC1-9056-6C3D21D9F0E1}SDs.JPG
120,157.4,47.0,14434,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{AFC8DB3B-C335-4F5B-9FD1-09797549030B}SDs.JPG
121,162.5,59.0,14435,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{64B7D529-DB5C-4311-B2E3-5954B6237A0F}SDs.JPG
122,193.0,95.0,14436,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{32CEB327-3462-411B-87ED-42EBAECC1981}SDs.JPG
123,170.1,68.0,14437,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{0170FB7D-FF35-4CC4-9680-5AA2423B0DF2}SDs.JPG
124,167.6,61.0,14438,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{305DD080-EAA0-4025-A789-1669A3A3DE45}SDs.JPG
125,154.9,77.0,14440,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{079798C4-EA30-45AA-9623-80F406419600}SDs.JPG
126,167.6,75.0,14441,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{FF716073-C43A-4984-A05C-B85D475AA154}SDs.JPG
127,152.4,54.0,14386,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{38130BB7-0AF5-4D0B-BB97-6AE6C88B6565}SDs.JPG
128,172.7,75.0,14442,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{1C62E366-1CF1-445B-983F-61A52563B3C5}SDs.JPG
129,165.1,66.0,14322,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{57565179-E9AF-4028-B5CD-2F8A448C4CFB}SDs.JPG
130,167.6,91.0,14638,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{756DA456-2B4F-4A6B-BF92-77B04748D1B6}SDs.JPG
131,182.8,84.0,14639,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{20EABEFC-15E2-429F-B1BC-0BCBB3266F63}SDs.JPG
132,167.6,67.0,14640,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{62D787C1-BF2D-4032-904A-D6CA66D752AE}SDs.JPG
133,180.3,86.0,14641,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{10D72D7D-F104-428B-9B6A-CD6A7166AC83}SDs.JPG
134,152.4,59.0,14642,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{09A284F3-B553-4C78-AACC-43553F198EBC}SDs.JPG
135,185.4,80.0,15686,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{4BAD32AD-4EE0-470B-974B-F859245E5AD3}SDs.JPG
136,162.5,61.0,15687,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{ACFC619A-ABA7-4257-A17F-9C400E1154E8}SDs.JPG
137,165.1,61.0,14401,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{6C99D9F1-84B9-4605-89D5-CDDE47B615D5}SDs.JPG
138,172.7,70.0,15688,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C606BC82-BCD9-4BFD-B26A-2EA59DCB1373}SDs.JPG
139,180.3,90.0,16427,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{1D7C7AB6-0D3E-4A69-83F8-45461DBF30FC}SDs.JPG
140,167.6,64.0,14404,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{C9644B8B-EAB6-4D7F-A717-4C94203CF7FC}SDs.JPG
141,154.9,61.0,16428,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5C9E0CA5-EE02-4A78-8DCB-3496E5706231}SDs.JPG
142,154.9,61.0,16429,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{2B076FFC-ED5A-498A-A896-03101CCC6C3F}SDs.JPG
143,160.0,66.0,16430,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{5E4031B5-8AB0-4F8C-AD80-BD7D877C60D8}SDs.JPG
144,162.5,57.0,16431,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{675AB357-DD15-4EC0-A40A-C305EA463F31}SDs.JPG
145,157.4,63.0,16432,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{74013C40-3190-45A1-A035-69E673095362}SDs.JPG
146,165.1,90.0,16433,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{AD072A86-CA4D-4F36-8DB9-B4A0B37C47CD}SDs.JPG
147,172.7,76.0,16434,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{CACFD3EF-8377-43D4-94B5-B564A0ABEBBF}SDs.JPG
148,154.9,54.0,16435,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{B07DC783-14F3-4D1C-BDBB-A8852E34BB20}SDs.JPG
149,152.4,53.0,16436,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{A33B162D-68C0-46F7-9D63-F177857F83F0}SDs.JPG
150,172.7,75.0,16437,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{B9670057-D2E9-4E03-9F09-A414019219C5}SDs.JPG
151,200.0,80.0,20595,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{4018719C-D5D8-4456-B27B-8B908A20421E}SDs.JPG
152,180.0,110.0,21802,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{0D1402C5-297F-4EA8-84EB-DD31BB2FF573}SDs.JPG
153,175.26,72.727,23249,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{EBB2D9C4-C61C-46C0-A3DD-3BCC65ED5CF7}SDs.JPG
154,160.02,76.364,23256,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{D9370D3B-8655-4C50-A3A0-D809F1678FF2}SDs.JPG
155,165.1,66.364,23258,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{F6D01CAD-6E96-4874-8F36-FE9B202E9BD8}SDs.JPG
156,160.02,50.091,14425,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{8084B917-A94E-44FF-8A40-33336638A16C}SDs.JPG
157,165.1,50.909,23279,C:/Users/lucas/Desktop/Datasets_in_use/Silhouette_Local/separate_images\{909BBD6C-BC0C-4C08-9C43-59F844C8CAF2}SDs.JPG
